S. No.,Topic,Question,Option A,Option B,Option C,Option D,Correct Option
171,Actuarial Assumptions & APS 27,A decrease in discount rate typically:,Lowers DBO,Raises DBO,Has no impact,Creates negative liability,B
172,Actuarial Assumptions & APS 27,Attrition rate affects DB valuations because it:,Changes salary level,Reduces probability of vesting and payment,Changes discount rate,Affects interest cost only,B
173,Actuarial Assumptions & APS 27,Which assumption has highest impact for long-duration pension plans?,Withdrawal rate,Discount rate,Salary scale,Mortality only,B
174,Actuarial Assumptions & APS 27,The “expected return on assets” concept is NOT used under:,AS 15,Ind AS 19,IAS 19,US GAAP,B
175,Actuarial Valuation Concepts,Defined benefit obligation is measured as:,Undiscounted future benefits,Present value of future benefits earned to date,Fund value,Expected salary only,B
176,Actuarial Valuation Concepts,Which of the following most directly reduces DBO?,Higher discount rate,Higher salary increase,Lower withdrawals,Lower retirement age,A
177,Actuarial Valuation Concepts,A plan where benefits accrue uniformly with service follows which attribution method?,Straight line,Projected Unit Credit,Constant dollar,Flat accrual,B
178,Actuarial Valuation Concepts,Actuarial gains arise when:,Experience is better than assumptions,Experience is worse than assumptions,Interest cost is negative,Fund earns zero,A
179,Actuarial Valuation Concepts,A decrease in salary escalation assumption typically results in:,Higher DBO,Lower DBO,No change,Negative DBO,B
180,Actuarial Valuation Concepts,Which assumption affects both DBO and service cost?,Discount rate,Employee count,Fund manager fee,Tax rate,A
181,Actuarial Valuation Concepts,The purpose of demographic assumptions is to estimate:,Future expenses,"Member behavior (deaths, exits)",Investment returns,Tax deductions,B
182,Actuarial Valuation Concepts,Economic assumptions include:,Mortality,Discount rate & salary escalation,Gender ratio,Employee service history,B
183,Actuarial Valuation Concepts,The liability for vested benefits is always:,Higher than DBO,Lower than DBO,Equal to or lower than DBO,Not comparable to DBO,C
184,Actuarial Valuation Concepts,A curtailment occurs when:,Benefit formula improves,Employees leave due to restructuring,Mortality table changes,Salary increases are large,B
185,Actuarial Valuation Concepts,Settlement accounting is required when:,Obligation is eliminated substantially,Assumptions change,Interest cost changes,Employee resigns normally,A
186,Actuarial Valuation Concepts,The Projected Unit Credit method allocates benefit to:,Beginning of employment,Only retirement date,Each year of service,Last 3 years,C
187,Actuarial Valuation Concepts,A trust return higher than expected results in:,Actuarial gain,Actuarial loss,Past service cost,Settlement,A
188,Actuarial Valuation Concepts,Plan assets exclude:,Investments held in trust,Insurer-managed gratuity funds,Employer-owned equity investments not in trust,Government securities in trust,C
189,Actuarial Valuation Concepts,A change in discount rate affects:,Service cost only,DBO only,DBO and interest cost,Fund value,C
190,Actuarial Valuation Concepts,Which of these is *not* typically included in actuarial valuation reports?,Key assumptions,Employee-level benefit table,Mortality table description,Employee Aadhaar numbers,D
191,Actuarial Valuation Concepts,Attribution of benefit under DB plans depends primarily on:,Benefit formula,Auditor preference,Tax rules,Fund manager rate,A
192,Actuarial Valuation Concepts,"In most DB valuations, interest cost is:",Always negative,Equal to expected return on assets,DBO × discount rate,Tax-deductible only,C
193,Actuarial Valuation Concepts,Plan amendment decreasing future benefit accrual leads to:,Past service gain,Past service cost,Settlement loss,Actuarial gain,A
194,Actuarial Valuation Concepts,Experience loss arises when:,Withdrawals are fewer than assumed,Withdrawals exceed assumptions,Discount rate increases,Salary decreases,A
195,Actuarial Valuation Concepts,Funding status =,Fund value − DBO,DBO × discount rate,Salary − benefit,Plan assets ÷ obligation,A
196,Actuarial Valuation Concepts,A funded plan with assets exceeding obligation results in:,Deficit,Surplus,Curtailment,Settlement,B
197,Actuarial Valuation Concepts,DBO is most sensitive to which assumption in long-term plans?,Mortality,Discount rate,Withdrawal rate,Spouse age,B
198,Actuarial Valuation Concepts,"Under Ind AS 19, expected return on assets is replaced by:",Actual return,Interest income on assets,Zero,Discount rate × assets,D
199,Actuarial Valuation Concepts,Plan participants close to retirement cause liabilities to be:,Shorter duration,Longer duration,Unchanged,Converted to DC,A
200,Actuarial Valuation Concepts,Higher withdrawal rates generally:,Increase DBO,Decrease DBO,No impact,Increase service cost,B
201,Actuarial Valuation Concepts,"For non-Act gratuity, benefit formula is driven by:",Company policy,Statutory requirement,Tax rule only,Auditor recommendation,A
202,Actuarial Valuation Concepts,Split disclosure of current vs non-current liability is based on:,Expected benefit payments,Assumption choice,Fund value,Employee designation,A
203,Actuarial Valuation Concepts,An actuarial loss arises when discount rate:,Increases,Decreases,Remains constant,Equals inflation,B
204,Actuarial Valuation Concepts,Which of the following reduces service cost?,Lower salary escalation,Higher discount rate,Lower benefit formula,All of the above,D
205,Accounting Classifications,Employee benefits expected to be settled within 12 months are:,Short-term benefits,Termination benefits,Defined benefit,Funding requirements,A
206,Accounting Classifications,Other long-term employee benefits include:,Annual bonus,Leave encashment payable after 12 months,PF,ESOPs,B
207,Accounting Classifications,Termination benefits are recognised when:,Plan is announced and irrevocable,Employee retires,EPFO approves,Employee resigns,A
208,Accounting Classifications,Share-based benefits fall under:,AS 15,Ind AS 102,Ind AS 19,AS 22,B
209,Accounting Classifications,Interest cost belongs to:,Financing cost,Employee benefit cost,Asset revaluation,Tax expense,B
210,Accounting Classifications,OCI items for DB plans under Ind AS 19 include:,Service cost,Remeasurements,Interest cost,Past service cost,B
211,Accounting Classifications,Profit-sharing plans under AS 15 are recognised when:,Employee demands,Obligation arises with no realistic alternative,Year starts,Tax deduction available,B
212,Accounting Classifications,Funded status is reported in balance sheet as:,Plan assets only,Net obligation/surplus,DBO only,Footnote,B
213,Accounting Classifications,"Under Ind AS 19, remeasurement gain cannot be:",Recognised in OCI,Taken to P&L,Accumulated in equity,Shown in disclosures,B
214,Accounting Classifications,Defined contribution cost =,Fund value,Contribution due for the period,DBO × discount rate,Employee share only,B
215,General Employee Benefit Concepts,A benefit where employer bears actuarial risk is:,Defined contribution,Defined benefit,Short-term,Termination benefit,B
216,General Employee Benefit Concepts,"IFRS, Ind AS and AS 15 agree that DB plans require:",Actuarial valuation,No valuation,Only disclosure,Cash basis accounting,A
217,General Employee Benefit Concepts,Accrued leave that lapses if unused is:,Accumulating,Non-accumulating,Vesting,DC benefit,B
218,General Employee Benefit Concepts,A benefit payable only on death in service is generally:,Post-employment benefit,Termination benefit,Short-term benefit,Insurance benefit,A
219,General Employee Benefit Concepts,Employee benefit “vesting” means:,Right becomes unconditional,Benefit becomes taxable,Employee resigns,Employer withdraws policy,A
220,General Employee Benefit Concepts,A gratuity scheme offering 30 days’ wages per year is:,Statutory minimum,Super-statutory benefit,DC plan,Termination benefit,B
221,General Employee Benefit Concepts,Medical reimbursements paid monthly are:,Short-term benefits,Defined benefit,Other long-term,Termination benefit,A
222,General Employee Benefit Concepts,A lump-sum paid on completion of 25 years’ service is:,Long service award,Short-term bonus,Pension,DC plan,A
223,General Employee Benefit Concepts,Annual bonus depending on profit is recognised when:,Payment is made,Obligation exists,Employee joins,Auditor signs off,B
224,General Employee Benefit Concepts,A scheme promising 1% of final salary per year of service is:,DC plan,DB plan,Short-term,Hybrid,B
225,General Employee Benefit Concepts,A higher discount rate:,Increases obligation,Decreases obligation,No effect,Depends on mortality,B
226,General Employee Benefit Concepts,Freeze of a DB plan for future hiring affects:,Current service cost,All accrued service,DBO resets,Funding prohibited,A
227,General Employee Benefit Concepts,Final salary DB plans assume salary increases until:,Resignation,Retirement,Mid-career,Age 25,B
228,General Employee Benefit Concepts,A plan with benefits based on career average salary is:,DC plan,DB plan,Short-term,Termination benefit,B
229,General Employee Benefit Concepts,Mortality improvement assumptions generally:,Increase pension liability,Decrease liability,Not used,Increase service cost only,A
230,General Employee Benefit Concepts,Defined benefit liability with longer duration is more sensitive to:,Withdrawal changes,Discount rate changes,Salary changes only,Fund value,B
231,General Employee Benefit Concepts,Long-term disability benefits (income replacement) are:,Short-term benefits,Post-employment defined benefit,Termination benefits,DC benefits,B
232,General Employee Benefit Concepts,DB plans with inflation-linked pensions require assumption on:,CPI indexation,Tax inflation,Corporate inflation,None,A
233,General Employee Benefit Concepts,"If retirement age is reduced, DBO:",Increases,Decreases,Same,Becomes DC,A
234,General Employee Benefit Concepts,A plan that allows employees to choose cash or benefits is:,DC plan,DB plan,Hybrid plan,Termination benefit,C
